Date,Open,High,Low,Close,Adj Close,Volume
2013-05-28,116.089996,116.269997,113.820000,113.839996,94.901787,13567500
2013-05-29,114.620003,115.180000,114.459999,115.120003,95.968849,11298600
2013-05-30,115.250000,115.370003,114.529999,114.839996,95.735435,10011800
2013-05-31,114.970001,115.019997,113.169998,114.449997,95.410301,18158800
2013-06-03,113.779999,115.489998,113.699997,114.779999,95.915855,15564500
2013-06-04,113.959999,114.489998,113.660004,113.720001,95.030090,7504300
2013-06-05,114.290001,115.320000,114.129997,115.290001,96.342033,8056100
2013-06-06,114.879997,116.790001,114.410004,115.220001,96.283554,8925200
2013-06-07,114.220001,114.830002,113.160004,113.160004,94.562111,10459300
2013-06-10,112.699997,113.120003,112.379997,112.620003,94.110863,7892600
2013-06-11,112.269997,113.959999,112.120003,113.959999,95.230614,12841200
2013-06-12,113.000000,113.830002,112.269997,112.330002,93.868530,10193200
2013-06-13,113.070000,114.169998,112.889999,114.089996,95.339272,12506300
2013-06-14,114.099998,114.660004,113.820000,113.820000,95.113625,6679100
2013-06-17,114.019997,114.080002,113.000000,113.220001,94.612289,5982100
2013-06-18,112.849998,113.680000,112.720001,113.279999,94.662392,5192700
2013-06-19,113.739998,113.790001,111.620003,112.110001,93.684708,17138200
2013-06-20,110.750000,111.209999,109.279999,110.269997,92.147072,27898500
2013-06-21,110.150002,110.410004,108.370003,108.400002,90.584396,19781000
2013-06-24,107.830002,109.389999,107.760002,108.849998,90.960434,24588900
2013-06-25,108.900002,109.019997,107.860001,107.879997,90.149857,11078000
2013-06-26,109.000000,109.050003,108.040001,108.580002,90.734833,13582200
2013-06-27,109.540001,109.970001,108.949997,109.690002,91.662422,12026000
2013-06-28,109.010002,110.480003,108.720001,110.440002,92.289139,12017000
2013-07-01,109.730003,110.500000,109.430000,110.410004,92.475082,5500400
2013-07-02,110.500000,110.800003,110.239998,110.339996,92.416451,5333900
2013-07-03,110.309998,110.650002,110.010002,110.010002,92.140099,3839000
2013-07-05,107.279999,107.500000,106.169998,106.260002,88.999207,14511900
2013-07-08,107.070000,107.559998,106.949997,107.290001,89.861885,8044200
2013-07-09,107.489998,107.620003,107.070000,107.400002,89.954048,4700400
2013-07-10,107.389999,107.389999,106.300003,106.559998,89.250473,10792200
2013-07-11,107.449997,107.870003,106.940002,107.809998,90.297462,10035500
2013-07-12,108.339996,108.470001,107.339996,107.720001,90.222054,4730800
2013-07-15,107.800003,108.320000,107.699997,108.290001,90.699471,4574800
2013-07-16,108.430000,108.760002,108.269997,108.660004,91.009346,3650200
2013-07-17,109.190002,109.360001,108.660004,108.860001,91.176872,5932000
2013-07-18,108.610001,108.669998,107.480003,107.500000,90.037781,9066400
2013-07-19,108.309998,109.209999,108.250000,109.199997,91.461632,8523800
2013-07-22,109.360001,109.690002,109.129997,109.360001,91.595665,3972600
2013-07-23,108.669998,109.000000,108.320000,108.900002,91.210350,5015500
2013-07-24,107.650002,107.889999,106.790001,107.519997,90.054550,8853100
2013-07-25,106.970001,107.599998,106.809998,107.480003,90.021042,6443400
2013-07-26,108.040001,108.279999,107.639999,108.139999,90.573830,6795500
